[GravityCollapse] Using gravity solver method = cooley_tukey
[GravityCollapse] Gravity solver completed in 0.00411742 seconds.
[GravityCollapse] Uniform-sphere potential check:
   L₁ = 7.80964e+14, L₂ = 8.53107e+14 (over 32768 cells)
Gravity is ENABLED, G: 6.67e-08
CFL=0.5, sound_crossings=25.6
Initial max wave speed= 0.748331, crossingTime= 2.67261e+11, totalTime= 6.84189e+12
HDF5 file written to: agoge_init.h5
Step=588, time=2.45546e+12/6.84189e+12, dt=4.17596e+09
Step=590, time=2.46381e+12/6.84189e+12, dt=4.17596e+09
Step=592, time=2.47217e+12/6.84189e+12, dt=4.17596e+09
Step=594, time=2.48052e+12/6.84189e+12, dt=4.17596e+09
Step=596, time=2.48887e+12/6.84189e+12, dt=4.17596e+09
Step=598, time=2.49722e+12/6.84189e+12, dt=4.17596e+09
Step=600, time=2.50557e+12/6.84189e+12, dt=4.17596e+09
Step=602, time=2.51393e+12/6.84189e+12, dt=4.17596e+09
Step=604, time=2.52228e+12/6.84189e+12, dt=4.17596e+09
Step=606, time=2.53063e+12/6.84189e+12, dt=4.17596e+09
Step=608, time=2.53898e+12/6.84189e+12, dt=4.17596e+09
Step=610, time=2.54733e+12/6.84189e+12, dt=4.17596e+09
Step=612, time=2.55569e+12/6.84189e+12, dt=4.17596e+09
Step=614, time=2.56404e+12/6.84189e+12, dt=4.17596e+09
Step=616, time=2.57239e+12/6.84189e+12, dt=4.17596e+09
Step=618, time=2.58074e+12/6.84189e+12, dt=4.17596e+09
Step=620, time=2.58909e+12/6.84189e+12, dt=4.17596e+09
Step=622, time=2.59745e+12/6.84189e+12, dt=4.17596e+09
Step=624, time=2.6058e+12/6.84189e+12, dt=4.17596e+09
Step=626, time=2.61415e+12/6.84189e+12, dt=4.17596e+09
Step=628, time=2.6225e+12/6.84189e+12, dt=4.17596e+09
Step=630, time=2.63085e+12/6.84189e+12, dt=4.17596e+09
Step=632, time=2.6392e+12/6.84189e+12, dt=4.17596e+09
Step=634, time=2.64756e+12/6.84189e+12, dt=4.17596e+09
Step=636, time=2.65591e+12/6.84189e+12, dt=4.17596e+09
Step=638, time=2.66426e+12/6.84189e+12, dt=4.17596e+09
Step=640, time=2.67261e+12/6.84189e+12, dt=4.17596e+09
Step=642, time=2.68096e+12/6.84189e+12, dt=4.17596e+09
Step=644, time=2.68932e+12/6.84189e+12, dt=4.17596e+09
Step=646, time=2.69767e+12/6.84189e+12, dt=4.17596e+09
Step=648, time=2.70602e+12/6.84189e+12, dt=4.17596e+09
Step=650, time=2.71437e+12/6.84189e+12, dt=4.17596e+09
Step=652, time=2.72272e+12/6.84189e+12, dt=4.17596e+09
Step=654, time=2.73108e+12/6.84189e+12, dt=4.17596e+09
Step=656, time=2.73943e+12/6.84189e+12, dt=4.17596e+09
Step=658, time=2.74778e+12/6.84189e+12, dt=4.17596e+09
Step=660, time=2.75613e+12/6.84189e+12, dt=4.17596e+09
Step=662, time=2.76448e+12/6.84189e+12, dt=4.17596e+09
Step=664, time=2.77284e+12/6.84189e+12, dt=4.17596e+09
Step=666, time=2.78119e+12/6.84189e+12, dt=4.17596e+09
Step=668, time=2.78954e+12/6.84189e+12, dt=4.17596e+09
Step=670, time=2.79789e+12/6.84189e+12, dt=4.17596e+09
Step=672, time=2.80624e+12/6.84189e+12, dt=4.17596e+09
Step=674, time=2.81459e+12/6.84189e+12, dt=4.17596e+09
Step=676, time=2.82295e+12/6.84189e+12, dt=4.17596e+09
Step=678, time=2.8313e+12/6.84189e+12, dt=4.17596e+09
Step=680, time=2.83965e+12/6.84189e+12, dt=4.17596e+09
Step=682, time=2.848e+12/6.84189e+12, dt=4.17596e+09
Step=684, time=2.85635e+12/6.84189e+12, dt=4.17596e+09
Step=686, time=2.86471e+12/6.84189e+12, dt=4.17596e+09
Step=688, time=2.87306e+12/6.84189e+12, dt=4.17596e+09
Step=690, time=2.88141e+12/6.84189e+12, dt=4.17596e+09
Step=692, time=2.88976e+12/6.84189e+12, dt=4.17596e+09
Step=694, time=2.89811e+12/6.84189e+12, dt=4.17596e+09
Step=696, time=2.90647e+12/6.84189e+12, dt=4.17596e+09
Step=698, time=2.91482e+12/6.84189e+12, dt=4.17596e+09
Step=700, time=2.92317e+12/6.84189e+12, dt=4.17596e+09
Step=702, time=2.93152e+12/6.84189e+12, dt=4.17596e+09
Step=704, time=2.93987e+12/6.84189e+12, dt=4.17596e+09
Step=706, time=2.94823e+12/6.84189e+12, dt=4.17596e+09
Step=708, time=2.95658e+12/6.84189e+12, dt=4.17596e+09
Step=710, time=2.96493e+12/6.84189e+12, dt=4.17596e+09
Step=712, time=2.97328e+12/6.84189e+12, dt=4.17596e+09
Step=714, time=2.98163e+12/6.84189e+12, dt=4.17596e+09
Step=716, time=2.98999e+12/6.84189e+12, dt=4.17596e+09
Step=718, time=2.99834e+12/6.84189e+12, dt=4.17596e+09
Step=720, time=3.00669e+12/6.84189e+12, dt=4.17596e+09
Step=722, time=3.01504e+12/6.84189e+12, dt=4.17596e+09
Step=724, time=3.02339e+12/6.84189e+12, dt=4.17596e+09
Step=726, time=3.03174e+12/6.84189e+12, dt=4.17596e+09
Step=728, time=3.0401e+12/6.84189e+12, dt=4.17596e+09
Step=730, time=3.04845e+12/6.84189e+12, dt=4.17596e+09
Step=732, time=3.0568e+12/6.84189e+12, dt=4.17596e+09
Step=734, time=3.06515e+12/6.84189e+12, dt=4.17596e+09
Step=736, time=3.0735e+12/6.84189e+12, dt=4.17596e+09
Step=738, time=3.08186e+12/6.84189e+12, dt=4.17596e+09
